OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,1stFlrSF,TotRmsAbvGrd,SalePrice
8,1554,2,1554,2006,2,1554,6,209500
7,1411,2,1386,1977,2,1411,6,82500
5,1056,1,1056,1954,1,1056,6,139400
6,1056,2,1056,1980,0,1056,4,144000
6,3395,0,1440,1914,2,1440,14,200000
2,800,0,264,1936,1,800,4,60000
5,1387,1,811,1954,2,811,7,93000
5,796,0,796,1910,1,796,4,85000
8,1567,3,1520,2006,2,1567,7,264561
8,1518,2,1518,2003,1,1518,6,274000
7,1929,2,1057,2001,2,1057,7,226000
8,2704,2,1952,1972,2,2000,9,345000
5,1620,2,780,1969,2,780,7,152000
9,1766,3,1766,2009,2,1766,7,370878
6,981,2,981,1971,1,981,5,143250
5,1048,2,0,1950,1,1048,7,98300
6,1094,2,1094,1953,1,1094,5,155000
6,1839,2,756,1966,1,1051,7,155000
4,630,0,630,1970,1,630,3,84500
7,1665,2,813,2007,2,822,7,205950
4,1510,1,755,1940,1,755,7,108000
7,1716,2,880,1996,2,909,7,191000
6,1469,1,756,1906,1,756,7,135000
8,2113,3,2109,1995,2,2113,7,350000
6,1092,1,525,1971,1,525,6,88000
5,1053,1,1053,1959,1,1053,5,145500
7,1502,1,776,1931,1,851,6,149000
6,1458,1,912,1948,1,912,6,97500
5,1486,2,1486,1964,1,1486,7,167000
7,1935,2,793,1976,2,1142,7,197900
8,2448,3,1629,1994,2,1686,8,402000
6,1392,2,1392,1968,1,1392,5,110000
4,1181,2,1138,1972,2,1181,6,137500
8,2097,3,2077,2005,1,2097,8,423000
8,1936,2,1406,2000,2,1454,7,230500
6,2380,2,1021,1965,2,1465,7,129000
6,1679,2,1408,1994,2,1679,7,193500
5,1437,2,1188,1956,1,1437,6,168000
4,1180,1,700,1922,1,1180,5,137500
6,1476,2,738,2005,2,738,7,173500
6,1369,1,672,1925,2,697,6,103600
6,1208,2,1208,1977,1,1208,6,165000
6,1839,2,1477,1957,2,1839,7,257500
6,1136,1,1136,1965,1,1136,5,140000
6,1441,2,855,1978,2,855,7,148500
4,1774,3,1095,1900,2,1095,8,87000
5,792,1,768,1924,1,792,5,109500
8,2046,3,2046,2008,2,2046,7,372500
5,988,2,988,1961,1,988,5,128500
6,923,1,923,1980,2,923,5,143000
5,1520,1,793,1932,1,848,6,159434
6,1291,2,1291,1996,1,1291,6,173000
9,1668,3,1626,2002,2,1668,7,285000
7,1839,2,1195,1998,2,1195,7,221000
7,2090,2,1190,1984,2,1190,6,207500
7,1761,2,874,2007,3,874,7,227875
7,1102,2,551,2004,2,551,4,148800
8,1419,2,1419,2007,2,1419,7,392000
6,1362,2,1362,2005,2,1362,6,194700
6,848,2,848,2004,1,848,3,141000
10,4316,3,2444,1994,3,2444,10,755000
7,2519,2,1210,1989,2,1238,9,335000
5,1073,1,1073,1921,1,1073,4,108480
5,1539,2,927,1936,1,1067,5,141500
6,1137,2,1112,1987,2,1137,5,176000
5,616,1,616,1921,1,616,4,89000
5,1148,1,980,1952,1,1148,6,123500
5,894,1,894,1965,1,894,5,138500
7,1391,2,1391,2004,2,1391,5,196000
8,1800,3,1800,2002,2,1800,7,312500
7,1164,2,1164,1969,1,1164,6,140000
8,2576,3,1234,2006,2,1264,10,361919
5,1812,2,360,1900,2,1032,8,140000
7,1484,2,1473,2004,2,1484,7,213000
4,1092,0,0,1930,2,372,7,55000
7,1824,2,1643,1971,2,1824,5,302000
8,1324,2,1324,2006,2,1324,6,254000
7,1456,2,728,2007,2,728,8,179540
5,904,1,876,1966,1,904,6,109900
3,729,0,270,1935,1,729,5,52000
4,1178,1,859,1900,1,859,7,102776
8,1228,2,1228,1988,2,1228,5,189000
4,960,2,960,1970,1,960,6,129000
6,1479,2,725,1976,2,725,6,130500
6,1350,2,1064,1974,2,1350,7,165000
7,2554,2,718,1890,1,1576,8,159500
5,1178,2,1176,1973,1,1178,5,157000
7,2418,3,1311,1993,2,1325,9,341000
5,971,1,971,1969,1,971,5,128500
8,1742,2,1742,1985,2,1742,5,275000
6,848,2,848,2004,1,848,3,143000
4,864,2,864,1970,1,864,5,124500
4,1470,1,941,1954,2,997,7,135000
9,1698,3,1698,2007,2,1698,8,320000
4,864,2,864,1970,1,864,5,120500
6,1680,2,880,1988,2,1680,5,222000
7,1232,2,1232,2007,2,1232,6,194500
5,1776,3,1584,1958,2,1776,9,110000
4,1208,2,780,1925,1,848,5,103000
8,1616,2,1595,1995,2,1616,5,236500
7,1146,2,868,2003,2,1146,6,187500
7,2031,2,1153,1998,2,1153,8,222500
5,1144,1,864,1961,1,1144,6,131400
5,948,1,948,1968,1,948,6,108000
7,1768,2,880,1914,1,880,6,163000
3,1040,2,0,1950,2,1040,6,93500
8,1801,3,893,2005,2,901,8,239900
5,1200,0,1200,1987,3,1200,5,179000
7,1728,2,864,2004,2,864,7,190000
5,1432,2,264,1910,2,768,7,132000
6,912,1,912,1961,1,912,5,142000
7,1349,2,1349,2000,2,1349,6,179000
5,1464,2,520,1963,2,1464,6,175000
8,1337,2,1337,1993,2,1337,5,180000
8,2715,2,1142,1976,3,1175,11,299800
7,2256,2,952,2000,2,980,8,236000
7,2640,4,1240,1880,1,1320,8,265979
7,1720,2,1720,1996,2,1720,7,260400
4,1529,1,0,1945,2,1088,9,98000
4,1140,0,576,1910,1,792,7,96500
7,1320,2,660,2003,2,660,6,162000
6,1494,2,1479,1997,2,1494,6,217000
8,2098,3,1030,2005,2,1038,8,275500
6,1026,2,1026,1969,1,1026,5,156000
6,1471,2,729,1999,2,742,6,172500
8,1768,2,866,2007,2,866,7,212000
6,1386,2,672,1978,2,672,6,158900
7,1501,2,744,1999,2,757,6,179400
8,2531,3,1318,1995,2,1328,9,290000
6,864,1,864,1959,1,864,5,127500
5,1301,2,1145,1924,1,1301,5,100000
7,1547,2,756,2009,2,764,7,215200
8,2365,3,1252,1999,2,1268,8,337000
8,1494,2,1494,1995,1,1494,6,270000
9,1506,2,1498,2008,2,1506,6,264132
7,1714,2,980,1988,2,980,7,196500
6,1750,1,983,1940,2,983,7,160000
7,1836,2,1860,2004,2,1836,8,216837
8,3279,3,1650,2003,3,1690,12,538000
5,858,2,858,1982,1,858,5,134900
4,1220,2,836,1951,1,1220,6,102000
6,1117,2,1029,1976,1,1117,6,107000
5,912,1,912,1958,1,912,5,114500
8,1973,3,1935,2006,2,1973,9,395000
6,1204,2,1204,1998,2,1204,5,162000
7,1614,3,1614,2005,2,1614,7,221500
5,894,2,864,1974,1,894,5,142500
5,2020,2,0,1977,2,2020,10,144000
6,1004,2,975,1977,1,1004,4,135000
7,1253,2,1237,1995,2,1253,6,176000
6,1603,2,761,1992,2,810,7,175900
7,1430,2,1413,2001,2,1430,6,187100
5,1110,2,1097,1978,1,1110,4,165500
6,1484,0,742,1914,2,742,9,128000
6,1342,2,1372,1967,2,1342,7,161500
5,1652,1,686,1915,2,966,7,139000
7,2084,2,956,2004,2,956,8,233000
4,901,1,901,1954,1,901,4,107900
6,2087,2,832,1966,2,976,9,187500
7,1145,2,1145,2005,2,1145,5,160200
6,1062,2,1029,1976,1,1062,5,146800
7,2013,2,1117,1996,2,1127,8,269790
8,1496,2,1496,2007,2,1496,7,225000
7,1895,2,712,1994,2,1086,7,194500
6,1564,2,650,1980,2,888,7,171000
6,1285,2,660,1977,1,1285,7,143500
5,773,1,773,1953,1,773,4,110000
9,3140,3,1926,2008,3,1966,11,485000
5,1768,1,731,1937,1,981,7,175000
6,1688,2,616,1997,2,616,8,200000
4,1196,2,1196,1916,1,1196,5,109900
7,1456,2,728,2005,2,728,7,189000
9,2822,3,1734,2008,3,1734,12,582933
5,1128,1,936,1954,1,1128,5,118000
7,1428,2,1417,2008,2,1428,6,227680
5,980,1,980,1967,2,980,6,135500
5,1576,2,1324,1923,1,1072,6,223500
5,1086,2,1024,1966,1,1086,6,159950
5,2138,2,849,1898,2,1075,11,106000
6,1309,2,1040,1974,1,1309,5,181000
6,848,2,848,2004,1,848,4,144500
5,1044,2,540,1952,1,1044,4,55993
6,1442,1,1442,1958,1,1442,7,157900
5,1250,1,686,1918,1,686,7,116000
7,1661,2,1649,1998,2,1661,6,224900
5,1008,1,1008,1954,1,1008,4,137000
8,1689,3,1568,2002,2,1689,7,271000
6,1052,2,1010,1971,1,1052,6,155000
7,1358,2,1358,2009,2,1358,6,224000
7,1640,2,798,2003,2,798,6,183000
4,936,2,936,1953,1,936,4,93000
7,1733,2,847,2003,2,847,7,225000
6,1489,1,778,1940,2,944,7,139500
8,1489,2,1489,2006,2,1489,7,232600
10,2084,3,2078,2007,2,2084,7,385000
5,784,0,784,1924,1,784,5,109500
7,1434,2,1454,2001,2,1434,6,189000
5,2126,2,1013,1967,2,1160,7,185000
7,1223,2,600,2005,2,520,4,147400
6,1392,2,1392,1957,1,1392,6,166000
7,1200,2,600,2005,2,520,4,151000
7,1829,2,941,2003,2,941,7,237000
6,1516,2,1516,1964,1,1516,6,167000
5,1144,2,1144,1961,1,1144,6,139950
4,1067,2,1067,1950,2,1067,4,128000
5,1559,2,1559,1948,1,1559,5,153500
6,987,1,483,1973,1,483,5,100000
5,1099,1,1099,1995,1,1099,6,144000
5,1200,1,768,1946,1,768,6,130500
6,1482,1,672,1925,2,810,7,140000
5,1539,2,650,1904,2,958,8,157500
6,1165,2,1127,1966,1,1165,6,174900
5,1800,0,1800,1961,2,1800,10,141000
5,1416,3,876,1915,1,876,7,153900
5,1701,2,1390,1975,2,1701,6,171000
7,1775,2,740,1993,2,1006,7,213000
5,864,1,864,1972,1,864,5,133500
6,2358,2,907,1908,3,1307,10,240000
6,1855,2,528,1976,2,1094,7,187000
6,848,2,848,2003,1,848,3,131500
8,1456,2,1273,2003,2,1456,7,215000
7,1646,1,918,1941,2,918,7,164000
6,1445,2,1127,1964,1,1445,7,158000
5,1779,2,1763,1955,1,1779,6,170000
5,1040,1,1040,1962,1,1040,6,127000
6,1026,2,940,1978,1,1026,5,147000
6,1481,2,702,1994,2,702,6,174000
7,1370,2,1090,1976,2,1370,6,152000
6,2654,2,1054,1968,2,1512,9,250000
7,1426,1,912,1918,1,912,7,189950
5,1039,2,1039,1965,1,1039,6,131500
6,1097,2,1040,1984,2,1097,6,152000
5,1148,1,1148,1959,1,1148,6,132500
7,1372,2,1372,2007,2,1372,6,250580
5,1002,2,1002,1970,1,1002,5,148500
8,1646,3,1638,2006,2,1646,6,248900
4,1120,2,1040,1961,1,1120,5,129000
5,2320,2,0,1948,2,1547,7,169000
7,1949,2,1050,1993,2,1062,8,236000
5,894,1,894,1962,1,894,5,109500
6,1682,2,804,1998,2,804,7,200500
5,910,2,105,1953,1,910,5,116000
5,1268,1,832,1949,1,1036,6,133000
5,1131,1,676,1941,1,676,5,66500
8,2610,2,1184,2007,2,1184,11,303477
4,1040,2,1064,1963,1,1040,5,132250
9,2224,3,1462,2004,2,1462,10,350000
5,1155,2,1109,1961,1,1155,6,148000
5,864,1,864,1978,1,864,6,136500
5,1090,2,1090,2005,1,1090,5,157000
7,1717,2,1156,1990,2,1187,7,187500
6,1593,2,808,1992,2,808,7,178000
4,2230,1,795,1912,1,954,10,118500
5,892,1,892,1967,1,892,5,100000
9,1709,2,1698,1999,2,1709,5,328900
5,1712,2,1626,1959,2,1712,8,145000
5,1393,1,816,1955,1,872,8,135500
8,2217,2,2217,1970,2,2217,8,268000
6,1505,2,1505,1953,1,1505,6,149500
5,924,2,672,1949,1,672,6,122900
6,1683,2,918,1978,2,918,7,172500
6,1068,1,1059,1963,1,1068,6,154500
5,1383,1,1383,1954,1,1383,6,165000
5,1535,2,0,1979,2,1535,8,118858
6,1796,2,780,1963,1,983,8,140000
4,951,1,951,1936,1,951,6,106500
5,2240,2,0,1979,2,1120,12,142953
9,2364,3,2330,2009,2,2364,11,611657
5,1236,1,912,1961,1,1236,6,135000
4,858,1,858,1971,1,858,4,110000
5,1306,1,992,1957,1,1306,5,153000
7,1509,2,783,2003,2,807,8,180000
7,1670,3,1670,2006,2,1670,7,240000
5,902,1,876,1967,1,902,6,125500
5,1063,1,1056,1954,1,1063,6,128000
8,1636,3,1623,2006,2,1636,8,255000
7,2057,1,1017,1936,1,1020,6,250000
5,902,2,864,1983,1,902,5,131000
6,1484,2,742,2005,2,742,8,174000
5,2274,2,1105,1960,2,1105,12,154300
5,1268,1,1268,1977,1,1268,5,143500
5,1015,1,768,1925,1,1015,6,88000
5,2002,3,1001,1949,2,1001,8,145000
6,1224,2,612,2009,2,612,4,173733
4,1092,1,546,1970,1,546,6,75000
2,480,1,480,1949,0,480,4,35311
4,1229,1,1134,1956,1,1229,6,135000
7,2127,3,1104,1991,2,912,8,238000
6,1414,2,1184,1958,1,1414,6,176500
6,1721,2,928,1994,2,936,7,201000
5,2200,0,1272,1900,2,1272,9,145900
6,1316,2,1316,2005,2,1316,6,169990
6,1617,2,1604,1993,2,1617,5,193000
6,1686,2,1686,1980,2,1686,7,207500
5,1126,2,1126,1977,2,1126,6,175000
8,2374,3,1181,2003,2,1234,10,285000
7,1978,2,832,1968,2,1098,9,176000
8,1788,2,1753,2001,2,1788,7,236500
7,2236,2,964,1997,2,993,8,222000
8,1466,3,1466,2007,2,1466,7,201000
5,925,1,925,1965,1,925,5,117500
9,1905,3,1905,2006,2,1905,8,320000
7,1500,2,1500,2004,2,1500,6,190000
7,2069,2,585,1960,2,2069,9,242000
4,747,2,600,1926,1,747,5,79900
7,1200,2,1176,2003,2,1200,5,184900
7,1971,2,1113,2005,2,1113,8,253000
7,1962,3,1391,2006,2,1391,7,239799
7,2403,1,1032,1940,2,1207,10,244400
6,1728,2,1728,1976,2,1728,8,150900
7,2060,2,992,1999,2,1022,8,214000
4,1440,0,1440,1977,2,1440,8,150000
5,1632,2,1632,1967,2,1632,8,143000
6,1344,2,819,1958,1,1344,7,137500
5,1869,2,1088,1890,1,1188,7,124900
5,1144,1,1144,1959,1,1144,6,143000
8,1629,3,1616,2002,2,1629,9,270000
7,1776,2,936,2002,2,936,7,192500
6,1381,2,1161,1972,1,1381,5,197500
5,864,2,864,1950,1,864,5,129000
5,965,1,828,1965,1,965,6,119900
5,768,1,768,1972,1,768,5,133900
5,1968,2,784,1969,2,1168,7,172000
6,980,0,945,1975,2,980,4,127500
6,1958,2,979,1946,2,979,8,145000
6,1229,2,561,1980,1,561,5,124000
5,1057,2,1057,1962,1,1057,6,132000
7,1337,2,1337,2003,2,1337,6,185000
7,1416,2,696,1999,2,696,6,155000
5,858,0,858,1958,1,858,4,116500
6,2872,2,1330,1977,2,1542,11,272000
6,1548,2,804,1976,2,804,7,155000
9,1800,2,1800,2007,2,1800,7,239000
7,1894,2,817,2002,2,824,8,214900
6,1484,2,783,2005,2,783,8,178900
5,1308,1,728,1940,1,976,7,160000
5,1098,1,1098,1955,1,1098,6,135000
3,968,0,600,1910,1,600,6,37900
6,1095,1,588,1958,1,1095,6,140000
4,1192,0,720,1949,1,720,6,135000
7,1626,2,764,2003,2,764,6,173000
6,918,1,918,1979,2,918,5,99500
7,1428,2,1428,2007,2,1428,6,182000
7,2019,2,728,1910,1,1136,8,167500
7,1382,2,673,2000,2,673,6,165000
4,869,0,440,1923,1,869,4,85500
7,1241,2,1241,2006,1,1241,4,199900
4,894,2,894,1954,1,894,5,110000
5,1121,2,1121,1963,1,1121,5,139000
7,999,2,944,1961,1,999,6,178400
8,2612,3,1225,1998,2,1276,8,336000
7,1266,2,1266,2007,2,1266,6,159895
8,2290,2,1128,2002,2,1149,9,255900
5,1734,2,0,1977,2,1302,8,126000
5,1164,1,1164,1950,1,1164,5,125000
6,1635,1,485,1910,1,1001,5,117000
9,1940,3,1930,2009,2,1940,8,395192
6,2030,2,848,1976,2,1118,8,195000
7,1576,2,770,2006,2,778,6,197000
8,2392,3,1396,1997,2,1407,7,348000
8,1742,2,916,1882,1,916,8,168000
6,1851,2,822,1964,2,1020,7,187000
6,1500,2,750,2005,2,750,6,173900
10,1718,3,1700,2006,2,1718,7,337500
4,1230,1,747,1946,1,774,5,121600
5,1050,1,1050,1961,1,1050,6,136500
6,1442,2,1442,1970,2,1442,6,185000
3,1077,1,1007,1922,1,1077,6,91000
7,1208,2,1187,2006,2,1208,6,206000
3,944,2,0,1952,1,944,4,82000
5,691,1,691,1920,1,691,4,86000
8,1574,3,1574,2006,2,1574,7,232000
5,1680,2,1680,1976,2,1680,8,136905
7,1504,2,1346,2005,2,1504,7,181000
5,985,1,985,1977,2,985,6,149900
6,1657,2,1657,1970,2,1657,7,163500
4,1092,1,546,1970,1,546,6,88000
7,1710,2,1710,2004,2,1710,7,240000
5,1522,0,1008,1926,2,1008,7,102000
5,1271,1,720,1948,2,720,7,135000
5,1664,0,0,1965,2,1664,8,100000
6,1502,1,602,1923,1,900,7,165000
5,1022,1,1022,1910,1,1022,4,85000
6,1082,1,1082,1948,1,1082,5,119200
8,1665,2,810,2001,2,810,6,227000
7,1504,2,1504,1996,2,1504,6,203000
8,1360,2,1220,1984,1,1360,4,187500
7,1472,2,384,1991,2,802,7,160000
7,1506,2,1362,2005,2,1506,6,213490
4,1132,2,1132,2005,1,1132,5,176000
7,1220,2,1199,2006,2,1220,6,194000
5,1248,1,912,1930,1,912,6,87000
7,1504,2,1346,2005,2,1504,7,191000
8,2898,2,1565,1976,2,2898,10,287000
5,882,2,882,1972,1,882,5,112500
5,1264,2,1268,1960,1,1264,6,167500
8,1646,3,1638,2007,2,1646,7,293077
5,1376,1,768,1941,1,968,6,105000
6,1218,1,672,1972,1,672,7,118000
5,1928,0,686,1916,2,948,10,160000
7,3082,2,824,1920,2,1687,12,197000
8,2520,3,1338,1993,2,1352,10,310000
7,1654,3,1654,2002,2,1654,6,230000
5,954,1,920,1938,1,954,5,119750
4,845,1,0,1957,1,845,5,84000
9,1620,3,1620,2007,2,1620,6,315500
8,2263,2,1055,2001,2,1055,7,287000
4,1344,0,546,1970,1,798,6,97000
4,630,1,630,1970,1,630,3,80000
5,1803,2,1134,1957,2,1803,8,155000
6,1632,2,800,1966,1,800,7,173000
6,1306,2,1306,2005,2,1306,5,196000
7,2329,2,1475,1990,2,1532,10,262280
8,2524,2,2524,1981,2,2524,9,278000
3,1733,2,0,1955,2,1733,8,139600
9,2868,3,1992,2005,3,1992,11,556581
5,990,2,990,1994,1,990,5,145000
5,1771,2,0,1960,1,1771,9,115000
4,930,1,0,1946,1,930,6,84900
7,1302,2,1302,2007,2,1302,6,176485
7,1316,2,1316,2007,2,1316,6,200141
6,1977,2,816,1964,1,1127,9,165000
5,1526,1,1216,1957,1,1526,7,144500
8,1989,2,1065,2002,2,1091,7,255000
6,1523,2,1193,1976,2,1523,7,180000
7,1364,2,1364,2005,2,1364,6,185850
7,1850,2,973,1994,2,979,7,248000
9,2184,3,1104,2008,2,1130,10,335000
6,1991,2,854,1932,1,1096,7,220000
8,1338,2,1338,2001,2,1338,6,213500
3,894,3,894,1935,1,894,6,81000
5,2337,2,662,1900,2,1422,10,90000
6,1103,2,1103,1925,1,1103,5,110500
5,1154,2,1154,1966,1,1154,6,154000
7,2260,2,1306,1996,2,1306,7,328000
6,1571,2,799,1993,2,799,7,178000
6,1611,2,780,1964,1,798,7,167900
6,2521,2,942,1973,2,1291,10,151400
5,893,2,845,1949,1,893,4,135000
5,1048,1,1048,1956,1,1048,6,135000
6,1556,2,727,1968,1,829,8,154000
5,1456,1,810,1948,1,1002,7,91500
6,1426,2,690,1977,1,698,6,159500
7,1240,3,1240,2006,2,1240,5,194000
7,1740,1,800,1940,1,960,6,219500
5,1466,2,796,1936,2,1096,7,170000
5,1096,1,1096,1969,1,1096,6,138800
6,848,2,848,2004,1,848,3,155900
5,990,1,990,1994,1,990,5,126000
6,1258,2,1258,1971,2,1258,5,145000
5,1040,1,1040,1963,1,1040,5,133000
7,1459,2,1459,2002,2,1459,6,192000
6,1251,1,1251,1964,1,1251,6,160000
6,1498,2,691,1995,2,691,6,187500
6,996,2,936,1992,1,996,5,147000
4,1092,1,546,1973,1,546,6,83500
8,1953,3,1082,2005,2,1082,9,252000
7,1709,2,970,2004,2,970,7,137500
8,1247,2,1247,2005,1,1247,4,197000
3,1040,2,0,1950,2,1040,6,92900
7,1252,2,600,1999,2,624,4,160000
6,1694,2,1181,1925,2,1390,7,136500
5,1200,2,864,1965,1,1200,6,146000
5,936,1,936,1956,1,936,4,129000
6,1314,2,1314,2006,2,1314,6,176432
6,1355,0,684,1914,1,773,7,127000
8,1088,2,1074,1986,1,1088,5,170000
4,1324,1,672,1936,1,757,6,128000
7,1601,2,1271,1978,2,1601,7,157000
2,438,1,290,1920,1,438,3,60000
5,950,1,950,1971,1,950,5,119500
5,1134,1,1010,1960,1,1134,6,135000
6,1194,2,655,1959,1,1194,6,159500
5,1302,2,630,1970,2,630,6,106000
8,2622,2,1463,1994,2,1500,9,325000
7,1442,2,910,1990,2,1442,6,179900
7,2021,2,868,2006,2,887,9,274725
6,1690,2,924,2000,2,948,7,181000
8,1836,3,1836,2004,2,1836,7,280000
6,1658,2,773,1995,2,773,8,188000
7,1964,2,803,1976,2,1098,8,205000
5,816,1,816,1957,1,816,5,129900
5,1008,1,1008,1953,1,1008,6,134500
5,833,1,833,1954,1,833,4,117000
8,1734,3,1734,2007,2,1734,7,318000
8,1419,2,408,2002,2,779,7,184100
5,894,2,894,1967,1,894,5,130000
5,1601,1,533,1958,1,1021,6,140000
5,1040,1,1040,1959,1,1040,6,133700
6,1012,1,1012,1920,1,1012,6,118400
7,1552,3,1552,2005,2,1552,7,212900
4,960,1,672,1956,1,960,5,112000
5,698,0,698,1947,1,698,4,118000
7,1482,2,384,1992,2,812,7,163900
4,1005,2,1005,1955,1,1005,5,115000
7,1555,3,1373,2007,2,1555,7,174000
7,1530,3,1530,2004,2,1530,7,259000
7,1959,2,847,2004,2,847,8,215000
5,936,2,936,1980,1,936,4,140000
4,1981,2,1122,1928,2,1328,7,135000
5,974,0,974,1991,1,974,5,93500
6,2210,1,1008,1880,2,1178,8,117500
8,2020,2,1128,1995,2,1142,8,239500
6,1600,2,916,1997,2,916,7,169000
6,986,1,960,1926,1,986,5,102000
6,1252,1,1032,1950,1,1032,6,119000
5,1020,0,780,1875,1,780,6,94000
6,1567,2,1567,1977,2,1567,5,196000
5,1167,2,915,1920,1,1167,6,144000
5,952,2,952,1951,1,952,4,139000
5,1868,2,780,1976,2,1088,9,197500
8,2828,3,1466,2006,3,1466,11,424870
5,1006,0,1006,1959,1,1006,5,80000
4,924,1,672,1941,1,672,5,80000
5,1576,1,1042,1928,1,1042,8,149000
6,1298,2,1298,1985,2,1298,5,180000
7,1564,1,704,1941,1,860,7,174500
7,1111,1,572,1926,1,572,5,116900
7,1482,2,650,1920,1,832,7,143000
6,932,1,932,1950,1,932,4,124000
5,1466,2,1466,1959,1,1466,6,149900
6,1811,2,1073,1956,1,1811,6,230000
6,816,1,816,1930,1,816,5,120500
7,1820,2,864,1965,1,902,8,201800
5,1437,2,1437,1976,2,1437,6,218000
5,1265,2,1219,1965,2,1265,6,179900
7,1314,2,1314,2007,2,1314,6,230000
8,1580,3,1580,2007,2,1580,7,235128
6,1876,2,901,1974,2,943,8,185000
6,1456,2,855,1978,2,855,7,146000
6,1640,2,1296,1954,1,1640,7,224000
5,894,2,894,1968,1,894,5,129000
4,1258,2,1198,1969,0,1258,6,108959
5,1432,2,1360,1978,1,1432,5,194000
7,1502,2,1502,2009,2,1502,7,233170
8,1694,3,1694,2008,2,1694,7,245350
6,1671,2,959,2000,2,959,7,173000
6,2108,2,1127,1935,2,1236,7,235000
10,3627,3,1930,1995,3,1831,10,625000
6,1118,1,1096,1977,1,1118,6,171000
6,1261,2,1261,1958,1,1261,6,163000
7,1250,2,625,2006,2,625,5,171900
5,3086,0,1598,1946,3,1636,12,200500
6,2345,2,952,1932,2,1170,9,239000
8,2872,2,1683,1992,2,2129,9,285000
5,923,1,876,1984,1,923,5,119500
6,1224,1,818,1926,1,818,5,115000
5,1343,1,731,1921,1,820,7,154900
5,1124,0,0,1954,1,1124,5,93000
7,2514,2,1216,1990,2,1298,8,250000
8,1652,2,1600,2008,2,1652,5,392500
10,4476,3,2396,1996,3,2411,10,745000
5,1130,2,1120,1920,1,1130,5,120000
5,1572,3,1572,1963,1,1572,5,186700
5,1221,1,784,1924,1,949,7,104900
3,1699,2,978,1900,2,1014,7,95000
8,1624,3,1624,1994,2,1624,5,262000
7,1660,2,831,2002,2,831,7,195000
7,1804,2,994,1999,2,1028,7,189000
4,1622,4,1249,1961,1,1622,7,168000
8,1441,2,776,1999,2,764,5,174000
5,1472,1,702,1925,1,842,6,125000
6,1224,2,1224,1999,2,1224,5,165000
6,1352,1,663,1969,1,663,7,158000
6,1456,2,728,2005,2,728,8,176000
7,1863,3,879,2006,2,879,9,219210
7,1690,1,815,1916,1,815,7,144000
7,1212,2,1212,2001,2,1212,6,178000
4,1382,2,1051,1963,1,1382,6,148000
4,864,1,864,1970,1,864,5,116050
7,1779,2,866,1998,2,866,6,197900
5,1348,1,884,1925,1,884,5,117000
7,1630,2,1630,2000,2,1630,6,213000
5,1074,2,1056,1975,1,1074,6,153500
7,2196,3,2158,1990,2,2196,7,271900
4,1056,1,1056,1966,1,1056,5,107000
6,1700,2,1682,2003,2,1700,7,200000
5,1283,2,931,1962,1,1283,6,140000
8,1660,2,1660,2006,2,1660,8,290000
6,1845,2,1055,1992,2,1055,8,189000
8,1752,2,559,1988,2,1080,8,164000
4,672,1,672,1941,1,672,4,113000
4,960,1,648,1965,0,960,3,145000
5,999,1,925,1962,1,999,6,134500
5,894,1,894,1966,1,894,5,125000
6,1902,2,0,1978,2,1318,8,112000
8,1314,2,1300,2009,2,1314,6,229456
4,912,0,0,1947,1,672,3,80500
6,1218,0,672,1971,1,672,7,91500
5,912,1,912,1964,1,912,5,115000
5,1211,1,952,1968,1,1211,5,134000
6,1846,1,1040,1949,2,1168,7,143000
5,2136,2,2136,1951,2,2136,7,137900
7,1490,2,788,2004,2,788,8,184000
6,1138,1,588,1958,1,1138,6,145000
6,1933,3,894,2007,2,894,9,214000
5,912,2,912,1965,1,912,5,147000
9,1702,3,1702,2008,1,1702,7,367294
5,1507,1,1075,1960,2,1507,7,127000
5,2620,2,1361,1977,2,1361,12,190000
5,1190,2,1106,1962,1,1190,6,132500
4,1224,2,0,1962,2,1224,6,101800
5,1188,2,1188,1959,1,1188,6,142000
5,1964,0,940,1911,1,1024,7,130000
5,1784,1,747,1914,1,892,9,138887
7,1626,2,764,2003,2,764,6,175500
7,1948,2,847,2004,2,847,8,195000
6,1141,2,1141,2005,1,1141,6,142500
8,1484,2,1476,2006,2,1484,6,265900
7,1768,2,884,2003,2,884,8,224900
7,1689,3,1689,2007,2,1689,7,248328
7,1173,2,1053,1974,2,1173,6,170000
10,2076,3,2076,2006,2,2076,7,465000
8,1517,2,792,1929,1,792,7,230000
6,1868,2,585,1984,3,1140,7,178000
7,1553,2,756,2005,2,756,6,186500
6,1034,3,1012,1976,1,1034,6,169900
6,2058,2,735,1917,1,1134,8,129500
5,988,1,876,1950,1,988,6,119000
7,2110,2,2110,1968,2,2110,8,244000
7,1405,2,1405,2003,2,1405,6,171750
5,874,1,864,1968,1,874,5,130000
7,2167,2,1192,1974,2,1516,9,294000
7,1656,2,746,2003,2,760,7,165400
6,1367,1,884,1931,1,959,6,127500
8,1987,2,1986,1994,2,1987,7,301500
5,864,0,864,1922,1,864,4,99900
7,1166,2,856,2005,2,1166,5,190000
6,1054,2,1054,1969,1,1054,6,151000
6,1675,2,841,1999,2,892,7,181000
5,1050,1,1050,1956,1,1050,5,128900
4,1788,1,1104,1957,1,1104,8,161500
6,1824,2,764,1919,1,1060,8,180500
6,1337,2,1405,1998,2,1337,5,181000
